"Sales","Awareness","Liking","Consideration","InstagramAds","TikTokAds","SEA","PoSPromotions","InfluencerColabs","Time","predicted_sales"
67339.3299262061,21.4527069433817,5.41001877798606,6.76111607457484,301,473,20,233,733,1,68764.5623350951
66782.9533049017,21.9440416107629,4.75109762713379,6.8919025223883,1429,830,233,149,961,2,68735.9595908048
62018.9579133141,21.6661406373913,-8.36018334675101,-5.68511279334393,446,903,398,53,651,3,62720.7975600822
72356.2939653117,22.0040766063123,10.4925868085302,12.6847864764644,123,374,2463,38,805,4,71874.7968646578
63810.3658376618,21.9233113535881,-4.52907769740477,-1.2716297733497,643,591,1261,315,685,5,64888.4451107964
66345.9194908129,21.9981838117502,0.759740959552657,3.05536062596146,501,775,686,286,827,6,66915.1941492771
64687.1207617687,22.0909453466854,-4.34240360106257,-1.42561145995682,1069,591,539,285,977,7,64738.2908216528
67480.345172215,21.6874269687883,6.90151166547021,8.69703912658044,640,483,104,267,711,8,69721.5295995681
68735.3486427908,22.0153676636222,2.32120609424308,5.31233985635779,511,568,1958,138,727,9,68200.0000632643
61184.8892557123,21.9067947264083,-14.8047797851191,-11.6011590807912,1229,845,999,74,668,10,59749.2096530275
64177.0329827612,21.9576885488364,-0.52691720731929,2.19070968334916,871,476,1289,88,993,11,66620.6762271823
71953.1392968904,22.0539576035896,9.62333133436121,12.7421550047281,271,471,1610,25,782,12,72003.1453238714
71800.7386731806,21.8672062979545,7.59834242624096,9.90783025246838,189,548,672,68,521,13,70509.5627914657
72666.7588190777,22.042322491558,10.0452766750961,13.574135871724,274,16,2966,269,665,14,72429.692416446
64444.8964162959,21.9980419911343,-1.04679439838011,2.09030518294435,1402,494,2278,179,992,15,66488.9839994125
68790.4057775608,22.0219504206607,3.60636518985381,6.96714408542681,51,409,2927,207,565,16,69109.5045650282
69202.3720943467,21.3839017763389,1.81599518307917,3.29456067471061,263,44,7,164,810,17,67186.5809916098
70398.8330755112,21.8144925446152,6.19394925627864,7.93981822550333,136,544,260,180,920,18,69414.0716069593
68984.4377399801,21.9495574697771,9.21588652990326,11.6538936487406,1262,949,475,124,870,19,71134.9356311024
66985.7566009577,21.7430255371029,3.4061879583365,5.75887137483044,923,327,500,74,537,20,68416.8443285491
64222.6277162497,22.1142285760269,-2.20742699047703,0.389908886094269,625,575,737,159,846,21,65714.8149396459
68819.9528276855,22.2366167714475,6.98378009512256,10.1190273492009,388,476,3140,140,681,22,70610.3607379987
